                      _                    __ _     _   
 /\   /\___ _ __   __| | ___  _ __ ___    / /(_)___| |_ 
 \ \ / / _ \ '_ \ / _` |/ _ \| '__/ __|  / / | / __| __|
  \ V /  __/ | | | (_| | (_) | |  \__ \ / /__| \__ \ |_ 
   \_/ \___|_| |_|\__,_|\___/|_|  |___/ \____/_|___/\__|



004097	DATEX DIVISION OF
B4A82B	Histar Digital Electronics Co., Ltd.
B4A95A	Avaya Inc
B4A984	Symantec Corporation
B4A9FE	GHIA Technology (Shenzhen) LTD
B4AA4D	Ensequence, Inc.
B4AB2C	MtM Technology Corporation
B4AE2B	Microsoft
B4AE6F	Circle Reliance, Inc DBA Cranberry Networks
B4B017	Avaya Inc
B4B15A	Siemens AG Energy Management Division
B4B265	DAEHO I&T
B4B362	zte corporation
B4B384	ShenZhen Figigantic Electronic Co.,Ltd
B4B52F	Hewlett Packard
B4B542	Hubbell Power Systems, Inc.
B4B5AF	Minsung Electronics
B4B676	Intel Corporate
B4B859	Texa Spa
B4B88D	Thuh Company
B4C44E	VXL eTech Pvt Ltd
B4C6F8	Axilspot Communication
B4C799	Extreme Networks
B4C810	UMPI Elettronica
B4CCE9	Prosyst
B4CEF6	HTC Corporation
B4CFDB	Shenzhen Jiuzhou Electric Co.,LTD
B4D135	Cloudistics
B4D5BD	Intel Corporate
B4D8A9	BetterBots
B4D8DE	iota Computing, Inc.
B4DD15	ControlThings Oy Ab
B4DF3B	Chromlech
B4DFFA	Litemax Electronics Inc.
B4E0CD	Fusion-io, Inc
B4E10F	Dell Inc.
B4E1C4	Microsoft Mobile Oy
B4E1EB	Private
B4E782	Vivalnk
B4E9B0	Cisco Systems, Inc
B4ED19	Pie Digital, Inc.
B4ED54	Wohler Technologies
B4EEB4	ASKEY COMPUTER CORP
B4EED4	Texas Instruments
B4EF04	DAIHAN Scientific Co., Ltd.
B4EF39	Samsung Electronics Co.,Ltd
B4EFFA	Lemobile Information Technology (Beijing) Co., Ltd.
B4F0AB	Apple, Inc.
B4F2E8	ARRIS Group, Inc.
B4F323	PETATEL INC.
B4F81E	Kinova
B4FBE4	Ubiquiti Networks Inc.
B4FC75	SEMA Electronics(HK) CO.,LTD
B4FE8C	Centro Sicurezza Italia SpA
B80018	Htel
B80305	Intel Corporate
B80415	Bayan Audio
B805AB	zte corporation
B808CF	Intel Corporate
B808D7	HUAWEI TECHNOLOGIES CO.,LTD
B8098A	Apple, Inc.
B80B9D	ROPEX Industrie-Elektronik GmbH
B813E9	Trace Live Network
B81413	Keen High Holding(HK) Ltd.
B81619	ARRIS Group, Inc.
B816DB	CHANT SINCERE CO.,LTD
B817C2	Apple, Inc.
B8186F	ORIENTAL MOTOR CO., LTD.
B81999	Nesys
B81DAA	LG Electronics (Mobile Communications)
B820E7	Guangzhou Horizontal Information & Network Integration Co. Ltd
B8224F	SICHUAN TIANYI COMHEART TELECOMCO., LTD
B82410	Magneti Marelli Slovakia s.r.o.
B8241A	SWEDA INFORMATICA LTDA
B824F0	SOYO Technology Development Co., Ltd.
B8266C	ANOV France
B826D4	Furukawa Industrial S.A. Produtos Elétricos
B827EB	Raspberry Pi Foundation
B8288B	Parker Hannifin Manufacturing (UK) Ltd
B829F7	Blaster Tech
B82A72	Dell Inc.
B82ADC	EFR Europäische Funk-Rundsteuerung GmbH
B82CA0	Honeywell HomMed
B830A8	Road-Track Telematics Development
B83241	Wuhan Tianyu Information Industry Co., Ltd.
B836D8	Videoswitch
B83765	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
B83861	Cisco Systems, Inc
B838CA	Kyokko Tsushin System CO.,LTD
B83A08	Tenda Technology Co.,Ltd.Dongguan branch
B83A7B	Worldplay (Canada) Inc.
B83A9D	Alarm.com
B83D4E	Shenzhen Cultraview Digital Technology Co.,Ltd Shanghai Branch
B83E59	Roku, Inc.
B8415F	ASP AG
B843E4	Vlatacom
B844D9	Apple, Inc.
B847C6	SanJet Technology Corp.
B84FD5	Microsoft Corporation
B85001	Extreme Networks
B853AC	Apple, Inc.
B85510	Zioncom Electronics (Shenzhen) Ltd.
B856BD	ITT LLC
B857D8	Samsung Electronics Co.,Ltd
B85810	NUMERA, INC.
B85A73	Samsung Electronics Co.,Ltd
B85AF7	Ouya, Inc
B85AFE	Handaer Communication Technology (Beijing) Co., Ltd
B85E7B	Samsung Electronics Co.,Ltd
B86091	Onnet Technologies and Innovations LLC
B8616F	Accton Technology Corp
B8621F	Cisco Systems, Inc
B863BC	ROBOTIS, Co, Ltd
B86491	CK Telecom Ltd
B8653B	Bolymin, Inc.
B869C2	Sunitec Enterprise Co., Ltd.
B86B23	Toshiba
B86CE8	Samsung Electronics Co.,Ltd
B870F4	COMPAL INFORMATION (KUNSHAN) CO., LTD.
B87424	Viessmann Elektronik GmbH
B87447	Convergence Technologies
B875C0	PayPal, Inc.
B8763F	Hon Hai Precision Ind. Co.,Ltd.
B877C3	Decagon Devices, Inc.
B8782E	Apple, Inc.
B87879	Roche Diagnostics GmbH
B8797E	Secure Meters (UK) Limited
B87AC9	Siemens Ltd.
B87CF2	Aerohive Networks Inc.
B88198	Intel Corporate
B88687	Liteon Technology Corporation
B8871E	Good Mind Industries Co., Ltd.
B887A8	Step Ahead Innovations Inc.
B888E3	COMPAL INFORMATION (KUNSHAN) CO., LTD.
B88981	Chengdu InnoThings Technology Co., Ltd.
B889CA	ILJIN ELECTRIC Co., Ltd.
B88A60	Intel Corporate
B88D12	Apple, Inc.
B88E3A	Infinite Technologies JLT
B88EC6	Stateless Networks
B88EDF	Zencheer Communication Technology Co., Ltd.
B88F14	Analytica GmbH
B8921D	BG T&A
B894D2	Retail Innovation HTT AB
B89674	AllDSP GmbH & Co. KG
B8975A	BIOSTAR Microtech Int'l Corp.
B898B0	Atlona Inc.
B898F7	Gionee Communication Equipment Co,Ltd.ShenZhen
B89919	7signal Solutions, Inc
B899B0	Cohere Technologies
B89ACD	ELITE OPTOELECTRONIC(ASIA)CO.,LTD
B89AED	OceanServer Technology, Inc
B89BC9	SMC Networks Inc
B89BE4	ABB Power Systems Power Generation
B8A175	Roku, Inc.
B8A386	D-Link International
B8A3E0	BenRui Technology Co.,Ltd
B8A8AF	Logic S.p.A.
B8AC6F	Dell Inc.
B8AD3E	Bluecom
B8AE6E	Nintendo Co., Ltd.
B8AEED	Elitegroup Computer Systems Co.,Ltd.
B8AF67	Hewlett Packard
B8B1C7	BT&COM CO.,LTD
B8B2EB	Googol Technology (HK) Limited
B8B3DC	DEREK (SHAOGUAN) LIMITED
B8B42E	Gionee Communication Equipment Co,Ltd.ShenZhen
B8B7D7	2GIG Technologies
B8B81E	Intel Corporate
B8B94E	Shenzhen iBaby Labs, Inc.
B8BA68	Xi'an Jizhong Digital Communication Co.,Ltd
B8BA72	Cynove
B8BB23	Guangdong Nufront CSC Co., Ltd
B8BB6D	ENERES Co.,Ltd.
B8BBAF	Samsung Electronics Co.,Ltd
B8BC1B	HUAWEI TECHNOLOGIES CO.,LTD
B8BD79	TrendPoint Systems
B8BEBF	Cisco Systems, Inc
B8BF83	Intel Corporate
B8C1A2	Dragon Path Technologies Co., Limited
B8C3BF	Henan Chengshi NetWork Technology Co.，Ltd
B8C46F	PRIMMCON INDUSTRIES INC
B8C68E	Samsung Electronics Co.,Ltd
B8C716	Fiberhome Telecommunication Technologies Co.,LTD
B8C75D	Apple, Inc.
B8C855	Shanghai GBCOM Communication Technology Co.,Ltd.
B8CA3A	Dell Inc.
B8CD93	Penetek, Inc
B8CDA7	Maxeler Technologies Ltd.
B8D06F	GUANGZHOU HKUST FOK YING TUNG RESEARCH INSTITUTE
B8D49D	M Seven System Ltd.
B8D50B	Sunitec Enterprise Co.,Ltd
B8D7AF	Murata Manufacturing Co., Ltd.
B8D812	IEEE Registration Authority
B8D9CE	Samsung Electronics Co.,Ltd
B8DAF1	Strahlenschutz- Entwicklungs- und Ausruestungsgesellschaft mbH
B8DAF7	Advanced Photonics, Inc.
B8DC87	IAI Corporation
B8DF6B	SpotCam Co., Ltd.
B8E589	Payter BV
B8E625	2Wire Inc
B8E779	9Solutions Oy
B8E856	Apple, Inc.
B8E937	Sonos, Inc.
B8EAAA	ICG NETWORKS CO.,ltd
B8ECA3	ZyXEL Communications Corporation
B8EE65	Liteon Technology Corporation
B8EE79	YWire Technologies, Inc.
B8F080	SPS, INC.
B8F317	iSun Smasher Communications Private Limited
B8F4D0	Herrmann Ultraschalltechnik GmbH & Co. Kg
B8F5E7	WayTools, LLC
B8F6B1	Apple, Inc.
B8F732	Aryaka Networks Inc
B8F828	Changshu Gaoshida Optoelectronic Technology Co. Ltd.
B8F883	TP-LINK TECHNOLOGIES CO.,LTD.
B8F8BE	Bluecom
B8F934	Sony Mobile Communications AB
B8FC9A	Le Shi Zhi Xin Electronic Technology (Tianjin) Limited
B8FD32	Zhejiang ROICX Microelectronics
B8FF61	Apple, Inc.
B8FF6F	Shanghai Typrotech Technology Co.Ltd
B8FFB3	MitraStar Technology Corp.
B8FFFE	Texas Instruments
BC0200	Stewart Audio
BC024A	HMD Global Oy
BC0543	AVM GmbH
BC0DA5	Texas Instruments
BC0F2B	FORTUNE TECHGROUP CO.,LTD
BC0F64	Intel Corporate
BC125E	Beijing  WisVideo  INC.
BC1401	Hitron Technologies. Inc
BC1485	Samsung Electronics Co.,Ltd
BC14EF	ITON Technology Limited
BC15A6	Taiwan Jantek Electronics,Ltd.
BC15AC	Vodafone Italia S.p.A.
BC1665	Cisco Systems, Inc
BC16F5	Cisco Systems, Inc
BC1A67	YF Technology Co., Ltd
BC20A4	Samsung Electronics Co.,Ltd
BC20BA	Inspur (Shandong) Electronic Information Co., Ltd
BC25E0	HUAWEI TECHNOLOGIES CO.,LTD
BC25F0	3D Display Technologies Co., Ltd.
BC261D	HONG KONG TECON TECHNOLOGY
BC282C	e-Smart Systems Pvt. Ltd
BC2846	NextBIT Computing Pvt. Ltd.
BC28D6	Rowley Associates Limited
BC2B6B	Beijing Haier IC Design Co.,Ltd
BC2BD7	Revogi Innovation Co., Ltd.
BC2C55	Bear Flag Design, Inc.
BC2D98	ThinGlobal LLC
BC2F3D	vivo Mobile Communication Co., Ltd.
BC305B	Dell Inc.
BC307D	Wistron Neweb Corporation
BC307E	Wistron Neweb Corporation
BC3400	IEEE Registration Authority
BC35E5	Hydro Systems Company
BC38D2	Pandachip Limited
BC39A6	CSUN System Technology Co.,LTD
BC39D9	Z-Tec
BC3AEA	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
BC3BAF	Apple, Inc.
BC3E13	Accordance Systems Inc.
BC3F8F	HUAWEI TECHNOLOGIES CO.,LTD
BC4100	CODACO ELECTRONIC s.r.o.
BC4377	Hang Zhou Huite Technology Co.,ltd.
BC4434	Shenzhen TINNO Mobile Technology Corp.
BC4486	Samsung Electronics Co.,Ltd
BC44B0	Elastifile
BC452E	Knowledge Development for POF S.L.
BC4699	TP-LINK TECHNOLOGIES CO.,LTD.
BC4760	Samsung Electronics Co.,Ltd
BC4B79	SensingTek
BC4CC4	Apple, Inc.
BC4DFB	Hitron Technologies. Inc
BC4E3C	CORE STAFF CO., LTD.
BC4E5D	ZhongMiao Technology Co., Ltd.
BC51FE	Swann communications Pty Ltd
BC52B4	Nokia
BC52B7	Apple, Inc.
BC5436	Apple, Inc.
BC54F9	Drogoo Technology Co., Ltd.
BC5C4C	ELECOM CO.,LTD.
BC5FF4	ASRock Incorporation
BC5FF6	SHENZHEN MERCURY COMMUNICATION TECHNOLOGIES CO.,LTD.
BC6010	Qingdao Hisense Communications Co.,Ltd.
BC60A7	Sony Interactive Entertainment Inc.
BC620E	HUAWEI TECHNOLOGIES CO.,LTD
BC629F	Telenet Systems P. Ltd.
BC644B	ARRIS Group, Inc.
BC6641	IEEE Registration Authority
BC66DE	Shadow Creator Information Technology Co.,Ltd.
BC671C	Cisco Systems, Inc
BC6778	Apple, Inc.
BC6784	Environics Oy
BC6A16	Tdvine
BC6A29	Texas Instruments
BC6A2F	Henge Docks LLC
BC6A44	Commend International GmbH
BC6B4D	Nokia
BC6C21	Apple, Inc.
BC6E64	Sony Mobile Communications AB
BC6E76	Green Energy Options Ltd
BC71C1	XTrillion, Inc.
BC72B1	Samsung Electronics Co.,Ltd
BC74D7	HangZhou JuRu Technology CO.,LTD
BC7574	HUAWEI TECHNOLOGIES CO.,LTD
BC764E	Rackspace US, Inc.
BC765E	Samsung Electronics Co.,Ltd
BC7670	HUAWEI TECHNOLOGIES CO.,LTD
BC7737	Intel Corporate
BC779F	SBM Co., Ltd.
BC79AD	Samsung Electronics Co.,Ltd
BC7DD1	Radio Data Comms
BC811F	Ingate Systems
BC8199	BASIC Co.,Ltd.
BC8385	Microsoft Corporation
BC83A7	SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD
BC851F	Samsung Electronics Co.,Ltd
BC8556	Hon Hai Precision Ind. Co.,Ltd.
BC8893	VILLBAU Ltd.
BC8AA3	NHN Entertainment
BC8AE8	QING DAO HAIER TELECOM CO.,LTD.
BC8B55	NPP ELIKS America Inc. DBA T&M Atlantic
BC8CCD	SAMSUNG ELECTRO-MECHANICS(THAILAND)
BC8D0E	Nokia
BC926B	Apple, Inc.
BC9680	Shenzhen Gongjin Electronics Co.,Ltd
BC9889	Fiberhome Telecommunication Technologies Co.,LTD
BC99BC	FonSee Technology Inc.
BC9C31	HUAWEI TECHNOLOGIES CO.,LTD
BC9CC5	Beijing Huafei Technology Co., Ltd.
BC9DA5	DASCOM Europe GmbH
BC9FEF	Apple, Inc.
BCA042	SHANGHAI FLYCO ELECTRICAL APPLIANCE CO.,LTD
BCA4E1	Nabto
BCA8A6	Intel Corporate
BCA920	Apple, Inc.
BCA9D6	Cyber-Rain, Inc.
BCAD28	Hangzhou Hikvision Digital Technology Co.,Ltd.
BCADAB	Avaya Inc
BCAEC5	ASUSTek COMPUTER INC.
BCB181	SHARP CORPORATION
BCB1F3	Samsung Electronics Co.,Ltd
BCB308	HONGKONG RAGENTEK COMMUNICATION TECHNOLOGY CO.,LIMITED
BCB852	Cybera, Inc.
BCBAE1	AREC Inc.
BCBBC9	Kellendonk Elektronik GmbH
BCBC46	SKS Welding Systems GmbH
BCC00F	Fiberhome Telecommunication Technologies Co.,LTD
BCC168	DinBox Sverige AB
BCC23A	Thomson Video Networks
BCC342	Panasonic System Networks Co., Ltd.
BCC493	Cisco Systems, Inc
BCC61A	SPECTRA EMBEDDED SYSTEMS
BCC6DB	Nokia Corporation
BCC810	Cisco SPVTG
BCCAB5	ARRIS Group, Inc.
BCCD45	Voismart
BCCFCC	HTC Corporation
BCD11F	Samsung Electronics Co.,Ltd
BCD165	Cisco SPVTG
BCD177	TP-LINK TECHNOLOGIES CO.,LTD.
BCD1D3	Shenzhen TINNO Mobile Technology Corp.
BCD5B6	d2d technologies
BCD940	ASR Co,.Ltd.
BCE09D	Eoslink
BCE59F	WATERWORLD Technology Co.,LTD
BCE63F	Samsung Electronics Co.,Ltd
BCE767	Quanzhou  TDX Electronics Co., Ltd
BCEA2B	CityCom GmbH
BCEAFA	Hewlett Packard
BCEB5F	Fujian Beifeng Telecom Technology Co., Ltd.
BCEC23	SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD
BCEC5D	Apple, Inc.
BCEE7B	ASUSTek COMPUTER INC.
BCF1F2	Cisco Systems, Inc
BCF2AF	devolo AG
BCF5AC	LG Electronics (Mobile Communications)
BCF61C	Geomodeling Wuxi Technology Co. Ltd.
BCF685	D-Link International
BCF811	Xiamen DNAKE Technology Co.,Ltd
BCFE8C	Altronic, LLC
BCFFAC	TOPCON CORPORATION
C00000	Western Digital (may be reversed 00 00 C0?)
C0028D	WINSTAR Display CO.,Ltd
C005C2	ARRIS Group, Inc.
C00D7E	Additech, Inc.
C01173	Samsung Electronics Co.,Ltd
C011A6	Fort-Telecom ltd.
C01242	Alpha Security Products
C0143D	Hon Hai Precision Ind. Co.,Ltd.
C01885	Hon Hai Precision Ind. Co.,Ltd.
C01ADA	Apple, Inc.
C01E9B	Pixavi AS
C0210D	SHENZHEN RF-LINK TECHNOLOGY CO.,LTD.
C02250	Private
C02506	AVM GmbH
C0255C	Cisco Systems, Inc
C02567	Nexxt Solutions
C025A2	NEC Platforms, Ltd.
C025E9	TP-LINK TECHNOLOGIES CO.,LTD.
C027B9	Beijing National Railway Research & Design Institute  of Signal & Communication Co., Ltd.
C0288D	Logitech, Inc
C02973	Audyssey Laboratories Inc.
C029F3	Xysystem
C02BFC	iNES. applied informatics GmbH
C02C7A	Shenzhen Horn Audio Co.,Ltd.
C02DEE	Cuff
C02FF1	Volta Networks
C0335E	Microsoft
C034B4	Gigastone Corporation
C03580	A&R TECH
C035BD	Velocytech Aps
C035C5	Prosoft Systems LTD
C03896	Hon Hai Precision Ind. Co.,Ltd.
C038F9	Nokia Danmark A/S
C03B8F	Minicom Digital Signage
C03D46	Shanghai Sango Network Technology Co.,Ltd
C03E0F	BSkyB Ltd
C03F0E	Netgear
C03F2A	Biscotti, Inc.
C03FD5	Elitegroup Computer Systems Co.,Ltd.
C041F6	LG ELECTRONICS INC
C04301	Epec Oy
C044E3	Shenzhen Sinkna Electronics Co., LTD
C0493D	MAITRISE TECHNOLOGIQUE
C04A00	TP-LINK TECHNOLOGIES CO.,LTD.
C04A09	Zhejiang Everbright Communication Equip. Co,. Ltd
C04DF7	Serelec
C05627	Belkin International Inc.
C056E3	Hangzhou Hikvision Digital Technology Co.,Ltd.
C057BC	Avaya Inc
C058A7	Pico Systems Co., Ltd.
C05E6F	V. Stonkaus firma Kodinis Raktas
C05E79	SHENZHEN HUAXUN ARK TECHNOLOGIES CO.,LTD
C06118	TP-LINK TECHNOLOGIES CO.,LTD.
C0626B	Cisco Systems, Inc
C06394	Apple, Inc.
C064C6	Nokia Corporation
C06599	Samsung Electronics Co.,Ltd
C067AF	Cisco Systems, Inc
C06C0F	Dobbs Stanford
C06C6D	MagneMotion, Inc.
C07009	HUAWEI TECHNOLOGIES CO.,LTD
C07BBC	Cisco Systems, Inc
C07CD1	PEGATRON CORPORATION
C07E40	SHENZHEN XDK COMMUNICATION EQUIPMENT CO.,LTD
C08170	Effigis GeoSolutions
C0830A	2Wire Inc
C0847A	Apple, Inc.
C08488	Finis Inc
C0854C	Ragentek Technology Group
C0885B	SnD Tech Co., Ltd.
C08997	Samsung Electronics Co.,Ltd
C08ADE	Ruckus Wireless
C08B6F	S I Sistemas Inteligentes Eletrônicos Ltda
C08C60	Cisco Systems, Inc
C09132	Patriot Memory
C09134	ProCurve Networking by HP
C09727	SAMSUNG ELECTRO-MECHANICS(THAILAND)
C09879	Acer Inc.
C098E5	University of Michigan
C09A71	XIAMEN MEITU MOBILE TECHNOLOGY CO.LTD
C09C04	Shaanxi GuoLian Digital TV Technology Co.,Ltd.
C09C92	Coby
C09D26	Topicon HK Lmd.
C09F05	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
C09F42	Apple, Inc.
C0A0BB	D-Link International
C0A0C7	FAIRFIELD INDUSTRIES
C0A0DE	Multi Touch Oy
C0A0E2	Eden Innovations
C0A1A2	MarqMetrix
C0A26D	Abbott Point of Care
C0A364	3D Systems Massachusetts
C0A39E	EarthCam, Inc.
C0AA68	OSASI Technos Inc.
C0AC54	Sagemcom Broadband SAS
C0B339	Comigo Ltd.
C0B357	Yoshiki Electronics Industry Ltd.
C0B713	Beijing Xiaoyuer Technology Co. Ltd.
C0B8B1	BitBox Ltd
C0BAE6	Application Solutions (Electronics and Vision) Ltd
C0BD42	ZPA Smart Energy a.s.
C0BDD1	SAMSUNG ELECTRO-MECHANICS(THAILAND)
C0BFC0	HUAWEI TECHNOLOGIES CO.,LTD
C0C1C0	Cisco-Linksys, LLC
C0C3B6	Automatic Systems
C0C520	Ruckus Wireless
C0C522	ARRIS Group, Inc.
C0C569	SHANGHAI LYNUC CNC TECHNOLOGY CO.,LTD
C0C687	Cisco SPVTG
C0C946	MITSUYA LABORATORIES INC.
C0C976	Shenzhen TINNO Mobile Technology Corp.
C0CB38	Hon Hai Precision Ind. Co.,Ltd.
C0CCF8	Apple, Inc.
C0CECD	Apple, Inc.
C0CFA3	Creative Electronics & Software, Inc.
C0D012	Apple, Inc.
C0D044	Sagemcom Broadband SAS
C0D391	IEEE Registration Authority
C0D3C0	Samsung Electronics Co.,Ltd
C0D962	ASKEY COMPUTER CORP
C0D9F7	ShanDong Domor Intelligent S&T CO.,Ltd
C0DA74	Hangzhou Sunyard Technology Co., Ltd.
C0DC6A	Qingdao Eastsoft Communication Technology Co.,LTD
C0DF77	Conrad Electronic SE
C0E422	Texas Instruments
C0E42D	TP-LINK TECHNOLOGIES CO.,LTD.
C0E54E	ARIES Embedded GmbH
C0EAE4	Sonicwall
C0EE40	Laird Technologies
C0EEFB	OnePlus Tech (Shenzhen) Ltd
C0F1C4	Pacidal Corporation Ltd.
C0F2FB	Apple, Inc.
C0F636	Hangzhou Kuaiyue Technologies, Ltd.
C0F79D	Powercode
C0F8DA	Hon Hai Precision Ind. Co.,Ltd.
C0F945	Toshiba Toko Meter Systems Co., LTD.
C0F991	GME Standard Communications P/L
C0FFD4	Netgear
C40006	Lipi Data Systems Ltd.
C40049	Kamama
C40142	MaxMedia Technology Limited
C4017C	Ruckus Wireless
C401B1	SeekTech INC
C401CE	PRESITION (2000) CO., LTD.
C40415	Netgear
C4047B	Shenzhen YOUHUA Technology Co., Ltd
C40528	HUAWEI TECHNOLOGIES CO.,LTD
C4072F	HUAWEI TECHNOLOGIES CO.,LTD
C4084A	Nokia
C40880	Shenzhen UTEPO Tech Co., Ltd.
C40938	FUJIAN STAR-NET COMMUNICATION CO.,LTD
C40ACB	Cisco Systems, Inc
C40BCB	Xiaomi Communications Co Ltd
C40E45	ACK Networks,Inc.
C40F09	Hermes electronic GmbH
C4108A	Ruckus Wireless
C411E0	Bull Group Co., Ltd
C412F5	D-Link International
C413E2	Aerohive Networks Inc.
C4143C	Cisco Systems, Inc
C416FA	Prysm Inc
C417FE	Hon Hai Precision Ind. Co.,Ltd.
C4198B	Dominion Voting Systems Corporation
C419EC	Qualisys AB
C41CFF	Vizio, Inc
C41ECE	HMI Sources Ltd.
C421C8	KYOCERA Corporation
C4237A	WhizNets Inc.
C4242E	Galvanic Applied Sciences Inc
C42628	Airo Wireless
C42795	Technicolor CH USA Inc.
C4282D	Embedded Intellect Pty Ltd
C4291D	KLEMSAN ELEKTRIK ELEKTRONIK SAN.VE TIC.AS.
C42C03	Apple, Inc.
C42F90	Hangzhou Hikvision Digital Technology Co.,Ltd.
C43018	MCS Logic Inc.
C4346B	Hewlett Packard
C43655	Shenzhen Fenglian Technology Co., Ltd.
C4366C	LG Innotek
C436DA	Rusteletech Ltd.
C438D3	TAGATEC CO.,LTD
C4393A	SMC Networks Inc
C43A9F	Siconix Inc.
C43ABE	Sony Mobile Communications AB
C43C3C	CYBELEC SA
C43DC7	Netgear
C44044	RackTop Systems Inc.
C44202	Samsung Electronics Co.,Ltd
C4438F	LG Electronics (Mobile Communications)
C44567	SAMBON PRECISON and ELECTRONICS
C445EC	Shanghai Yali Electron Co.,LTD
C44619	Hon Hai Precision Ind. Co.,Ltd.
C4473F	HUAWEI TECHNOLOGIES CO.,LTD
C44838	Satcom Direct, Inc.
C449BB	MITSUMI ELECTRIC CO.,LTD.
C44AD0	FIREFLIES SYSTEMS
C44B44	Omniprint Inc.
C44BD1	Wallys Communications  Teachnologies Co.,Ltd.
C44E1F	Bluen
C44EAC	Shenzhen Shiningworth Technology Co., Ltd.
C45006	Samsung Electronics Co.,Ltd
C45444	QUANTA COMPUTER INC.
C455A6	Cadac Holdings Ltd
C455C2	Bach-Simpson
C45600	Galleon Embedded Computing
C456FE	Lava International Ltd.
C4576E	Samsung Electronics Co.,Ltd
C458C2	Shenzhen TATFOOK Technology Co., Ltd.
C45976	Fugoo Coorporation
C45DD8	HDMI Forum
C46044	Everex Electronics Limited
C4626B	ZPT Vigantice
C462EA	Samsung Electronics Co.,Ltd
C46354	U-Raku, Inc.
C46413	Cisco Systems, Inc
C46699	vivo Mobile Communication Co., Ltd.
C467B5	Libratone A/S
C4693E	Turbulence Design Inc.
C46AB7	Xiaomi Communications Co Ltd
C46BB4	Myidkey
C46DF1	DataGravity
C46E1F	TP-LINK TECHNOLOGIES CO.,LTD.
C4700B	GUANGZHOU CHIP TECHNOLOGIES CO.,LTD
C47130	Fon Technology S.L.
C471FE	Cisco Systems, Inc
C47295	Cisco Systems, Inc
C4731E	Samsung Electronics Co.,Ltd
C477AB	Beijing ASU Tech Co.,Ltd
C47B2F	Beijing JoinHope Image Technology Ltd.
C47BA3	NAVIS Inc.
C47C8D	IEEE Registration Authority
C47D46	FUJITSU LIMITED
C47D4F	Cisco Systems, Inc
C47DCC	Zebra Technologies Inc
C47DFE	A.N. Solutions GmbH
C47F51	Inventek Systems
C4823F	Fujian Newland Auto-ID Tech. Co,.Ltd.
C4824E	Changzhou Uchip Electronics Co., LTD.
C4836F	Ciena Corporation
C48508	Intel Corporate
C486E9	HUAWEI TECHNOLOGIES CO.,LTD
C488E5	Samsung Electronics Co.,Ltd
C48E8F	Hon Hai Precision Ind. Co.,Ltd.
C48F07	Shenzhen Yihao Hulian Science and Technology Co., Ltd.
C4913A	Shenzhen Sanland Electronic Co., ltd.
C4924C	KEISOKUKI CENTER CO.,LTD.
C49300	8devices
C49313	100fio networks technology llc
C49380	Speedytel technology
C495A2	SHENZHEN WEIJIU INDUSTRY AND TRADE DEVELOPMENT CO., LTD
C49805	Minieum Networks, Inc
C49A02	LG Electronics (Mobile Communications)
C49DED	Microsoft Corporation
C49E41	G24 Power Limited
C49FF3	Mciao Technologies, Inc.
C4A366	zte corporation
C4A81D	D-Link International
C4AAA1	SUMMIT DEVELOPMENT, spol.s r.o.
C4ABB2	vivo Mobile Communication Co., Ltd.
C4AD21	MEDIAEDGE Corporation
C4ADF1	GOPEACE Inc.
C4AE12	Samsung Electronics Co.,Ltd
C4B301	Apple, Inc.
C4B512	General Electric Digital Energy
C4B9CD	Cisco Systems, Inc
C4BA99	I+ME Actia Informatik und Mikro-Elektronik GmbH
C4BAA3	Beijing Winicssec Technologies Co., Ltd.
C4BB4C	Zebra Information Tech Co. Ltd
C4BBEA	Pakedge Device and Software Inc
C4BD6A	SKF GmbH
C4BE84	Texas Instruments
C4BED4	Avaya Inc
C4C0AE	MIDORI ELECTRONIC CO., LTD.
C4C19F	National Oilwell Varco Instrumentation, Monitoring, and Optimization (NOV IMO)
C4C755	Beijing HuaqinWorld Technology Co.,Ltd
C4C919	Energy Imports Ltd
C4C9EC	Gugaoo   HK Limited
C4CAD9	Hangzhou H3C Technologies Co., Limited
C4CD45	Beijing Boomsense Technology CO.,LTD.
C4D197	Ventia Utility Services
C4D489	JiangSu Joyque Information Industry Co.,Ltd
C4D655	Tercel technology co.,ltd
C4D987	Intel Corporate
C4DA26	NOBLEX SA
C4DA7D	Ivium Technologies B.V.
C4E032	IEEE 1904.1 Working Group
C4E17C	U2S co.
C4E510	Mechatro, Inc.
C4E7BE	SCSpro Co.,Ltd
C4E92F	AB Sciex
C4E984	TP-LINK TECHNOLOGIES CO.,LTD.
C4EA1D	Technicolor
C4EBE3	RRCN SAS
C4EDBA	Texas Instruments
C4EEAE	VSS Monitoring
C4EEF5	II-VI Incorporated
C4EF70	Home Skinovations
C4F081	HUAWEI TECHNOLOGIES CO.,LTD
C4F1D1	BEIJING SOGOU TECHNOLOGY DEVELOPMENT CO., LTD.
C4F464	Spica international
C4F57C	Brocade Communications Systems, Inc.
C4F5A5	Kumalift Co., Ltd.
C4FCE4	DishTV NZ Ltd
C4FF1F	HUAWEI TECHNOLOGIES CO.,LTD
